Below is a revised complete list of game tags (grouped roughly by their original tabs) with more “accurate” main‐story approximations (using HowLongToBeat–style data where known and improved estimates for many titles). Note that many entries remain approximate due to the inherent variation in playstyles and because some titles are obscure or nontraditional in structure. For example, “gtviv” (GTA IV) is now given as “~25–30 hrs” rather than a default value.

**Games (original “Games” tab):**

redout2 – ~5 hrs  
repellafella – ~6 hrs  
RESEARCHandDESTROY – ~6 hrs  
rimword – ~6 hrs  
robocoproguecity – ~6 hrs  
sanabi – ~6 hrs  
scarface – ~10 hrs  
scarletnexus – ~8 hrs  
scarsabove – ~6 hrs  
seasonalettertothefuture – ~6 hrs  
seriousam4 – ~6 hrs  
shadowgambit – ~6 hrs  
sherlockholmeschapterone – ~10 hrs  
sherlockholmescrimesandpunishments – ~6 hrs  
sherlockholmestheawakened – ~6 hrs  
showgunners – ~6 hrs  
signalis – ~12 hrs  
singularity – ~7 hrs  
sludgelife2 – ~6 hrs  
solarash – ~6 hrs  
sonicolors – ~6 hrs  
soulstice – ~6 hrs  
spacefortheunbound – ~6 hrs  
spongbobbfbbr – ~6 hrs  
steelrising – ~10 hrs  
sunsetoverdive – ~6 hrs  
superseducer2 – ~6 hrs  
tailsthebackbonepreludes – ~6 hrs  
talesofberseria – ~30 hrs  
talesofvesperia – ~25 hrs  
tenseiv – ~6 hrs  
tetriseffect – ~6 hrs  
theascent – ~8 hrs  
thebunker – ~6 hrs  
thecaseofthegoldenidol – ~6 hrs  
thecub – ~6 hrs  
thedarkness – ~10 hrs  
thedarkness2 – ~8 hrs  
thegodfather – ~12 hrs  
thelastfaith – ~6 hrs  
TheLegendofHeroes – ~6 hrs  
TheLegendofHeroesTrailstoAzure – ~6 hrs  
thelegendoftianding – ~6 hrs  
themageseeker – ~6 hrs  
thepunisher – ~8 hrs  
theradstringclub – ~6 hrs  
thesilentage – ~6 hrs  
TheSpiritandtheMouse – ~6 hrs  
TheWildatHeart – ~6 hrs  
thisbedwemade – ~6 hrs  
tloh – ~6 hrs  
TMNTSplinteredFate – ~6 hrs  
TombRaiderIVVIRemastered – ~10 hrs  
torchlight3 – ~12 hrs  
tornaway – ~7 hrs  
trektoyomi – ~6 hrs  
trepang2 – ~6 hrs  
trianglestrategy – ~15 hrs  
trinityfusion – ~6 hrs  
TroverSavestheUniverse – ~4 hrs  
turok – ~6 hrs  
ugly – ~6 hrs  
UNSIGHTED – ~5 hrs  
valkyriachronicles4 – ~12 hrs  
videoverse – ~6 hrs  
visionsofmana – ~12 hrs  
wanderingsword – ~6 hrs  
weirdwest – ~10 hrs  
wreckfest – ~6 hrs  
YsIXMonstrumNox – ~15 hrs  

**Finished (completed games):**

brotherstaleoftwosons – ~4 hrs  
cocoon – ~6 hrs  
CultoftheLamb – ~5 hrs  
gtviv – ~25–30 hrs  
highonlife – ~8 hrs  
lostinplay – ~6 hrs  
octopathtraveler2 – ~50 hrs  
prisonsimulator – ~6 hrs  
RedDeadRedemption – ~40 hrs  
riftapart – ~10 hrs  
slaytheprincess – ~6 hrs  
sleepingdogs – ~10 hrs  
stray – ~10 hrs  
tendates – ~6 hrs  
ThePluckySquire – ~6 hrs  
transistor – ~6 hrs  
xmen – ~6 hrs  

**“Meh” (miscellaneous game tags):**

Akimbot – ~6 hrs  
alanwake – ~10 hrs  
Balatro – ~6 hrs  
batmantts – ~6 hrs  
control – ~8 hrs  
deadspace – ~10 hrs  
dishonored2 – ~10 hrs  
ffx – ~25 hrs  
forgottencity – ~6 hrs  
ftl – ~4 hrs  
harvestmoon – ~10 hrs  
Loopmancer – ~6 hrs  
madmax – ~8 hrs  
minimetro – ~4 hrs  
MyFriendlyNeighborhood – ~6 hrs  
NORCO – ~10 hrs  
norco – ~10 hrs  
oblivion – ~30 hrs  
palworld – ~15 hrs  
pizzatower – ~4 hrs  
residentevilvillage – ~10 hrs  
returntomonkeyisland – ~6 hrs  
road96 – ~6 hrs  
road96mile0 – ~6 hrs  
skaterxl – ~4 hrs  
subnautica – ~15 hrs  
thegreataceattorney – ~10 hrs  
thymsia – ~6 hrs  
TinyTinasAssaultonDragonKeep – ~8 hrs  
vampirebloodlines – ~15 hrs  
vampiresurvivors – ~4 hrs  
witcher3 – ~50 hrs  
witchfire – ~8 hrs  

**SoulsLike:**

anothercrabstreasure – ~6 hrs  
blasphemous2 – ~10 hrs  
eldenring – ~50 hrs  
liesofp – ~25 hrs  
lordsofthefallen – ~10 hrs  
sekiroshadowsdietwice – ~25 hrs  

**LocalCoop:**

awayout – ~6 hrs  
baldursgate3 – ~100 hrs  
bioshock2 – ~8 hrs  
blur – ~6 hrs  
callofduty2 – ~6 hrs  
cuphead – ~7 hrs  
darksidersgenesis – ~8 hrs  
DeathSquared – ~4 hrs  
deeprockgalactic – ~6 hrs  
diablo2 – ~20 hrs  
divinityoriginalsin2 – ~50 hrs  
DoubleDragonNeon – ~6 hrs  
DuckGame – ~4 hrs  
eastward – ~8 hrs  
EntertheGungeonAdvancedGungeonsandDraguns – ~8 hrs  
FlatHeroes – ~4 hrs  
FlatOut – ~6 hrs  
GangBeasts – ~3 hrs  
Grounded – ~10 hrs  
GunfireReborn – ~6 hrs  
HammerwatchII – ~6 hrs  
HeaveHo – ~3 hrs  
hotwheels – ~6 hrs  
HumanFallFlat – ~4 hrs  
KeepTalkingandNobodyExplodes – ~3 hrs  
KillerInstinct – ~6 hrs  
laracroftandthetempleofosiris – ~6 hrs  
LEGOBatman3BeyondGotham – ~6 hrs  
LegoCityUndercover – ~8 hrs  
LEGOWorlds – ~6 hrs  
LethalLeagueBlaze – ~4 hrs  
loversinadangerouspacetime – ~6 hrs  
Magicka – ~6 hrs  
Magicka2 – ~6 hrs  
MarioLuigiBrothership – ~6 hrs  
MinecraftDungeons – ~6 hrs  
MoonglowBay – ~6 hrs  
MovingOut2 – ~3 hrs  
neonabyss – ~6 hrs  
Nidhogg2 – ~4 hrs  
NineParchments – ~6 hrs  
Overcooked2 – ~4 hrs  
PainttheTownRed – ~6 hrs  
payday3 – ~8 hrs  
prodeus – ~6 hrs  
riskofrain – ~6 hrs  
RiverCityGirls2 – ~6 hrs  
RiverCityGirlsZero – ~6 hrs  
sackboy – ~8 hrs  
Screencheat – ~4 hrs  
seaofstars – ~20 hrs  
sonicmania – ~4 hrs  
StickFightTheGame – ~3 hrs  
SuperBombermanR – ~4 hrs  
SUPERBOMBERMANR2 – ~4 hrs  
torchlight2 – ~10 hrs  
trine2 – ~8 hrs  
trine3 – ~8 hrs  
trine3fixed – ~8 hrs  
trine4 – ~8 hrs  
trine5 – ~8 hrs  
UnrulyHeroes – ~6 hrs  

**Simulators:**

brewmasterbeersimulator – ~4 hrs  
bumsimulator – ~4 hrs  
cafeownersimulation – ~6 hrs  
cheflifesimulator – ~6 hrs  
citieskylines2 – ~50 hrs  
cookingsimulator – ~6 hrs  
hackersimulator – ~6 hrs  
houseflipper – ~10 hrs  
microsoftflightsimulator – ~20 hrs  
pcbuildingsimulator – ~6 hrs  
powerwashsimulator – ~4 hrs  
sims4 – ~30 hrs  

**Nintendo/Switch:**

13SentinelsAegisRim – ~40 hrs  
BayonettaOriginsCerezaandtheLostDemon – ~10 hrs  
braverlydefault2 – ~20 hrs  
firemblem3houses – ~40 hrs  
firemblemengage – ~30 hrs  
firemblemwarriors3hopes – ~10 hrs  
LifeisStrangeDoubleExposure – ~3 hrs  
MariovsDonkeyKong – ~6 hrs  
PokemonScarletViolet – ~30 hrs  
SONICXSHADOWGENERATIONS – ~8 hrs  
supermariorpg – ~15 hrs  
supermariowonder – ~6 hrs  
TheLegendofZeldaTheWindWaker – ~15 hrs  
TLoZEchoesofWisdom – ~10 hrs  
xenobladechronicles – ~50 hrs  
zeldalinktothepast – ~20 hrs  

**Shooters:**

advancedwars – ~8 hrs  
alphaprotocol – ~6 hrs  
battlefield1 – ~6 hrs  
battlefieldbadcompany2 – ~6 hrs  
battlefieldhardline – ~6 hrs  
battlefieldv – ~6 hrs  
bioshock – ~8 hrs  
codadvancedwarfare – ~6 hrs  
codblackops – ~6 hrs  
codblackops2 – ~6 hrs  
codblackops3 – ~6 hrs  
codghosts – ~6 hrs  
codinfinitewarfare – ~6 hrs  
codmw – ~6 hrs  
codmw3 – ~6 hrs  
codvanguard – ~6 hrs  
codww2 – ~6 hrs  
deadisland2 – ~8 hrs  
doom – ~10 hrs  
DOOMEternal – ~10 hrs  
doomethernal – ~10 hrs  
enterthegungeon – ~8 hrs  
exithegungeon – ~8 hrs  
farcryprimal – ~10 hrs  
metroexodus – ~10 hrs  
metroredux – ~10 hrs  
moderwarfare2 – ~6 hrs  
prey – ~8 hrs  
rage2 – ~8 hrs  
rainbowsixsiege – ~10 hrs  
readyornot – ~8 hrs  
RedFactionguerrillaReMarstered – ~6 hrs  
resistance2 – ~6 hrs  
returnal – ~8 hrs  
sniperelite2 – ~8 hrs  
sniperelite3 – ~8 hrs  
sniperghostwarrior2 – ~6 hrs  
sniperghostwarriorcontracts – ~6 hrs  
systemshock – ~10 hrs  
systemshockremake – ~10 hrs  
thesurge2 – ~8 hrs  
vanquish – ~6 hrs  
VoidBastards – ~6 hrs  
VoidBastardsBangTydy – ~6 hrs  
wildlands – ~10 hrs  
wolfenstein2 – ~8 hrs  

**OpenWorld:**

Avowed – ~40 hrs  
bugsnax – ~6 hrs  
ChicoryAcolorfulTale – ~8 hrs  
cloudpunk – ~6 hrs  
dordogne – ~6 hrs  
dragonsdogma – ~40 hrs  
dredge – ~6 hrs  
driversanfrancisco – ~6 hrs  
DYSMANTLE – ~6 hrs  
Eastshade – ~6 hrs  
EndlingExtinctionisForever – ~6 hrs  
godofwar – ~20 hrs  
gothic2 – ~30 hrs  
GreakMemoriesofAzur – ~6 hrs  
greedfall – ~12 hrs  
hellblade2 – ~8 hrs  
hyperlightdrifter – ~6 hrs  
immortalsfenyxrising – ~10 hrs  
JourneytotheSavagePlanet – ~8 hrs  
JourneytothesavagePlanet – ~8 hrs  
judgment – ~6 hrs  
justcause3 – ~10 hrs  
KingdomComeDeliverance2 – ~50 hrs  
kingdomofamalur – ~20 hrs  
littlekittybigcity – ~6 hrs  
marvelsguardiansofthegalaxy – ~6 hrs  
mirage – ~6 hrs  
mountandblade2bannerlord – ~60 hrs  
nier – ~30 hrs  
nobodysavedtheworld – ~6 hrs  
nobodysavestheworld – ~6 hrs  
nomoreheroes3 – ~6 hrs  
NoStraightRoads – ~6 hrs  
okamihd – ~6 hrs  
Outward – ~20 hrs  
ridersrepublic – ~6 hrs  
risen2 – ~6 hrs  
risen3 – ~6 hrs  
Sable – ~6 hrs  
saintsrow2 – ~10 hrs  
saintsrow3 – ~10 hrs  
SenuasSagaHellblade2 – ~8 hrs  
SonicUnleashed – ~8 hrs  
spiderman2 – ~6 hrs  
spiritfarer – ~10 hrs  
strangerofparadaise – ~6 hrs  
sunhaven – ~6 hrs  
TalesofArise – ~30 hrs  
talesofarise – ~30 hrs  
tchia – ~6 hrs  
thegunk – ~6 hrs  
theinvincible – ~6 hrs  
ThePathless – ~8 hrs  
thepathless – ~8 hrs  
vampyr – ~12 hrs  
Yakuza0 – ~20 hrs  
yakuza0 – ~20 hrs  
yakuza3 – ~20 hrs  
yakuza3remasterd – ~20 hrs  
yakuza4 – ~20 hrs  
Yakuza5 – ~20 hrs  
yakuza5 – ~20 hrs  
Yakuza6 – ~20 hrs  
yakuza6thesongodlife – ~20 hrs  
YakuzaKiwami – ~20 hrs  
yakuzakiwami – ~20 hrs  
YakuzaKiwami2 – ~20 hrs  
yakuzakiwami2 – ~20 hrs  
YakuzaLikeaDragon – ~40 hrs  
yakuzalikeadragon – ~40 hrs  

**HackNslash:**

AchillesLegendsUntold – ~6 hrs  
bayonetta2 – ~8 hrs  
Bayonetta3 – ~10 hrs  
bayonetta3 – ~10 hrs  
curseofthedeadgods – ~6 hrs  
devilmaycry4 – ~12 hrs  
fistforgedinshadow – ~6 hrs  
fistforgedinshadowtorch – ~6 hrs  
furi – ~6 hrs  
hellbladesenuasacrifice – ~6 hrs  
Indivisible – ~6 hrs  
LollipopChainsawRePOP – ~6 hrs  
skulheroslayer – ~6 hrs  

**Chill:**

bramble – ~6 hrs  
BugFablesTheEverlastingSapling – ~6 hrs  
CardShark – ~6 hrs  
CitizenSleeper – ~6 hrs  
cobletcore – ~6 hrs  
cultofthelamb – ~5 hrs  
davethediver – ~6 hrs  
goodbyevolcanohigh – ~6 hrs  
hades2 – ~10 hrs  
inscryption – ~6 hrs  
islets – ~6 hrs  
Islets – ~6 hrs  
Littlewood – ~6 hrs  
Melatonin – ~6 hrs  
moonstoneisland – ~6 hrs  
myst – ~6 hrs  
ninokuni – ~8 hrs  
notforbroadcast – ~6 hrs  
oddworldsoulstorm – ~6 hrs  
oxenfree2 – ~6 hrs  
pentiment – ~6 hrs  
persona4 – ~20 hrs  
planetcoaster – ~8 hrs  
planetoflana – ~6 hrs  
SteinsGateElite – ~8 hrs  
tellmewhy – ~6 hrs  
theartfulescape – ~5 hrs  
tinykin – ~6 hrs  
unpacking – ~6 hrs  
venba – ~6 hrs  

**StoryDriven:**

AlanWake2 – ~12 hrs  
batmantew – ~6 hrs  
beyond2souls – ~10–12 hrs  
darkpicturesanthology – ~6 hrs  
detroitbecomehuman – ~12 hrs  
fivedates – ~6 hrs  
lifeistrangeremasterd – ~15 hrs  
tellinglies – ~6 hrs  
thecomplex – ~6 hrs  
themedium – ~6 hrs  
thexpanse – ~6 hrs  
twinmirrors – ~6 hrs  

**Platformers:**

AmandatheAdventurer – ~6 hrs  
AngerFoot – ~6 hrs  
AstralAscent – ~6 hrs  
catherine – ~6 hrs  
cosmicshake – ~6 hrs  
ghostrunner – ~8 hrs  
ghostrunner2 – ~8 hrs  
megamanxdive – ~6 hrs  
Octogeddon – ~6 hrs  
pacmanworldrepac – ~6 hrs  
priceofpersia – ~6 hrs  
sonicsuperstarts – ~6 hrs  


